policy_id,booking_date,premium_booked,taxes,fees
P1000,2024-07-10,1708.92,85.45,51.61
P1001,2024-05-01,1712.56,85.63,15.78
P1002,2024-05-26,4656.99,232.85,78.99
P1003,2024-03-08,3485.94,174.3,18.76
P1004,2024-02-04,1413.96,70.7,60.24
P1005,2024-04-20,850.91,42.55,39.8
P1006,2024-05-23,714.61,35.73,88.92
P1007,2024-01-20,4997.92,249.9,51.25
P1008,2024-06-14,3030.3,151.52,78.96
P1009,2024-03-11,1428.9,71.45,37.45
P1010,2024-05-28,2544.56,127.23,13.99
P1011,2024-06-13,-3835.8,191.79,65.12
P1012,2024-03-22,2391.03,119.55,22.29
P1013,2024-04-22,4524.86,226.24,30.56
P1014,2024-06-06,824.0,41.2,24.54
P1015,2024-03-31,4612.25,230.61,73.88
P1016,2024-06-26,,213.28,78.7
P1017,2024-01-30,2754.59,137.73,98.57
P1018,2024-03-15,3934.23,196.71,64.9
P1019,2024-06-04,4309.92,215.5,99.8
P1020,2024-04-23,2813.39,140.67,45.69
P1021,2024-04-02,1592.16,79.61,31.94
P1022,2024-03-07,3963.97,198.2,78.62
P1023,2024-02-29,1404.84,70.24,63.06
P1024,2024-06-14,2244.6,112.23,66.47
P1025,2024-04-09,1066.2,53.31,40.23
P1026,2024-05-18,-2370.16,118.51,26.76
P1027,2024-02-20,4088.36,204.42,43.79
P1028,2024-01-27,3619.52,180.98,85.61
P1029,2024-05-20,3985.94,199.3,98.01
P1030,2024-02-09,1213.39,60.67,33.74
P1031,2024-04-11,3763.59,188.18,42.98
P1032,2024-05-12,3542.28,177.11,90.05
P1033,2024-07-02,3701.1,185.06,11.77
P1034,2024-06-19,1119.78,55.99,73.25
P1035,2024-04-19,4055.44,202.77,34.56
P1036,2024-03-07,3860.83,193.04,54.79
P1037,2024-04-30,-4100.83,205.04,41.61
P1038,2024-06-22,3122.12,156.11,55.26
P1039,2024-05-27,,238.27,93.75
P1040,2024-04-23,5157.89,257.89,69.02
P1041,2024-03-14,1409.64,70.48,37.87
P1042,2024-05-21,,218.49,74.25
P1043,2024-06-12,4139.93,207.0,79.05
P1044,2024-04-16,4261.48,213.07,93.5
P1045,2024-03-01,2679.24,133.96,57.42
P1046,2024-05-12,3523.32,176.17,24.6
P1047,2024-04-07,4777.51,238.88,95.69
P1048,2024-05-09,1447.1,72.36,16.73
P1049,2024-07-08,716.32,35.82,79.25
P1050,2024-02-16,-2923.07,146.15,51.5
P1051,2024-07-02,2931.16,146.56,86.71
P1052,2024-01-19,1803.73,90.19,97.38
P1053,2024-03-04,1156.17,57.81,49.37
P1054,2024-02-22,2453.31,122.67,60.82
P1055,2024-03-02,2399.04,119.95,73.13
P1056,2024-07-10,2410.56,120.53,45.04
P1057,2024-02-13,2941.22,147.06,80.2
P1058,2024-01-12,1925.08,96.25,66.05
P1059,2024-07-02,,39.01,38.63
P1060,2024-02-18,3894.27,194.71,39.65
P1061,2024-03-23,4267.98,213.4,67.69
P1062,2024-05-14,3558.99,177.95,44.0
P1063,2024-06-06,4141.29,207.06,91.21
P1064,2024-06-24,3769.4,188.47,96.11
P1065,2024-04-05,3473.68,173.68,12.39
P1066,2024-02-27,2273.32,113.67,47.16
P1067,2024-02-29,2699.92,135.0,72.81
P1068,2024-05-07,1399.0,69.95,78.32
P1069,2024-01-19,950.78,47.54,71.87
P1070,2024-04-14,,103.6,88.71
P1071,2024-02-12,778.27,38.91,21.83
P1072,2024-01-29,1102.58,55.13,27.95
P1073,2024-06-26,4230.89,211.54,59.9
P1074,2024-07-09,2281.81,114.09,63.79
P1075,2024-04-01,4813.35,240.67,89.97
P1076,2024-01-22,672.8,33.64,52.17
P1077,2024-05-23,746.26,37.31,46.76
P1078,2024-03-20,3712.71,185.64,71.56
P1079,2024-03-25,4573.33,228.67,47.95
P1080,2024-02-18,2533.46,126.67,45.17
P1081,2024-05-08,4439.77,221.99,70.26
P1082,2024-04-30,3777.14,188.86,89.23
P1083,2024-06-22,836.76,41.84,53.32
P1084,2024-02-20,4220.26,211.01,16.79
P1085,2024-02-26,857.54,42.88,30.47
P1086,2024-02-26,4277.18,213.86,38.79
P1087,2024-03-12,2836.67,141.83,11.33
P1088,2024-06-03,3155.76,157.79,90.36
P1089,2024-05-30,1590.06,79.5,14.03
P1090,2024-04-05,3292.51,164.63,29.33
P1091,2024-06-28,3081.51,154.08,69.01
P1092,2024-05-14,2404.63,120.23,26.89
P1093,2024-05-17,1124.27,56.21,88.36
P1094,2024-03-24,2754.92,137.75,79.05
P1095,2024-06-22,770.29,38.51,12.17
P1096,2024-04-04,1784.86,89.24,86.54
P1097,2024-06-05,3722.63,186.13,23.32
P1098,2024-05-14,1578.25,78.91,14.2
P1099,2024-01-13,1042.18,52.11,40.93
P1100,2024-07-01,3163.79,158.19,21.02
P1101,2024-06-19,2198.92,109.95,23.69
P1102,2024-02-05,1308.43,65.42,64.99
,2024-06-21,1682.36,84.12,94.63
P1104,2024-03-19,1414.88,70.74,80.77
P1105,2024-03-24,748.79,37.44,20.63
P1106,2024-04-16,1979.92,99.0,12.59
P1107,2024-02-12,2021.62,101.08,35.19
P1108,2024-05-04,3892.39,194.62,98.7
P1109,2024-05-29,4549.63,227.48,95.03
P1110,2024-02-09,-1739.26,86.96,59.9
P1111,2024-05-10,1681.07,84.05,47.03
P1112,2024-01-26,4428.64,221.43,76.91
P1113,2024-06-07,4479.36,223.97,24.21
P1114,2024-03-29,1402.65,70.13,76.2
P1115,2024-07-25,1314.34,65.72,10.86
P1116,2024-03-19,3137.81,156.89,61.98
P1117,2024-02-07,1119.36,55.97,62.54
P1118,2024-03-18,3718.33,185.92,97.15
P1119,2024-07-02,3760.74,188.04,61.77
P1120,2024-02-27,5191.78,259.59,18.54
P1121,2024-03-25,3739.9,187.0,57.57
P1122,2024-06-22,2880.61,144.03,31.87
P1123,2024-05-29,3181.46,159.07,18.13
P1124,2024-03-07,3826.39,191.32,27.53
P1125,2024-05-27,1950.57,97.53,54.18
P1126,2024-05-15,4070.43,203.52,44.94
P1127,2024-04-19,1138.95,56.95,51.01
P1128,2024-03-24,2904.86,145.24,83.0
P1129,2024-02-08,2899.95,145.0,59.85
P1130,2024-02-20,4851.39,242.57,58.75
P1131,2024-06-14,2901.13,145.06,88.29
P1132,2024-04-07,4527.9,226.39,21.39
P1133,2024-02-24,825.09,41.25,85.12
P1134,2024-04-19,1689.78,84.49,85.07
P1135,2024-04-07,3665.2,183.26,86.34
P1136,2024-02-11,,131.89,45.77
P1137,2024-04-28,3633.13,181.66,78.28
P1138,2024-03-10,1402.59,70.13,51.62
P1139,2024-06-11,646.95,32.35,89.41
P1140,2024-06-29,3361.36,168.07,27.49
P1141,2024-02-09,4877.38,243.87,67.11
P1142,2024-04-07,,75.92,64.38
P1143,2024-06-15,2204.52,110.23,49.87
P1144,2024-02-16,3695.54,184.78,56.23
P1145,2024-02-12,2653.67,132.68,37.84
P1146,2024-05-27,2161.18,108.06,58.46
P1147,2024-05-27,1403.9,70.2,22.54
P1148,2024-01-22,4998.36,249.92,58.74
P1149,2024-06-16,2103.63,105.18,12.68
P1150,2024-01-28,1922.3,96.12,62.28
P1151,2024-03-18,3771.81,188.59,26.95
P1152,2024-03-03,3988.79,199.44,51.65
P1153,2024-01-20,4756.37,237.82,29.07
P1154,2024-04-14,3810.93,190.55,37.62
P1155,2024-01-21,5242.7,262.13,82.7
P1156,2024-01-31,4323.46,216.17,39.09
P1157,2024-05-12,2351.33,117.57,74.15
P1158,2024-01-26,4258.17,212.91,53.57
P1159,2024-05-27,3968.93,198.45,85.08
P1160,2024-05-05,2938.63,146.93,20.49
P1161,2024-02-18,703.36,35.17,27.32
P1162,2024-04-06,1581.71,79.09,10.46
P1163,2024-05-20,3169.0,158.45,20.61
P1164,2024-05-17,1394.08,69.7,64.78
P1165,2024-02-01,1225.17,61.26,44.53
P1166,2024-03-17,4957.65,247.88,48.78
P1167,2024-03-17,3730.9,186.55,41.34
P1168,2024-03-08,3085.97,154.3,28.74
P1169,2024-02-28,1625.48,81.27,21.03
P1170,2024-04-13,4795.14,239.76,18.05
P1171,2024-02-16,2127.56,106.38,17.71
P1172,2024-03-11,1822.7,91.14,15.61
P1173,2024-03-13,1703.37,85.17,37.15
P1174,2024-04-12,2019.36,100.97,93.67
P1175,2024-06-21,2396.7,119.83,64.48
P1176,2024-02-29,4578.79,228.94,65.29
P1177,2024-01-15,1659.96,83.0,89.07
P1178,2024-07-12,851.8,42.59,75.72
P1179,2024-07-09,4440.6,222.03,82.7
P1180,2024-06-20,1757.36,87.87,41.13
P1181,2024-06-22,1851.44,92.57,18.33
P1182,2024-07-17,1526.04,76.3,49.93
P1183,2024-04-23,5124.94,256.25,17.74
P1184,2024-03-02,2912.82,145.64,97.46
P1185,2024-02-04,4698.8,234.94,80.58
P1186,2024-06-01,2222.56,111.13,42.11
P1187,2024-03-31,2104.06,105.2,77.67
P1188,2024-05-17,3581.03,179.05,58.07
P1189,2024-06-01,3695.7,184.78,79.2
P1190,2024-06-14,1765.21,88.26,36.04
P1191,2024-01-22,2336.44,116.82,15.11
P1192,2024-05-19,2207.61,110.38,50.67
P1193,2024-05-20,3515.81,175.79,57.32
P1194,2024-06-13,1486.81,74.34,12.65
P1195,2024-01-23,603.42,30.17,37.58
P1196,2024-03-03,4026.44,201.32,96.38
P1197,2024-04-11,4730.6,236.53,39.52
P1198,2024-06-27,580.64,29.03,65.64
P1199,2024-06-13,4951.23,247.56,69.84
P1200,2024-06-28,1865.15,93.26,80.3
P1201,2024-05-04,3176.06,158.8,40.63
P1202,2024-07-03,3643.32,182.17,39.0
P1203,2024-04-25,3589.75,179.49,38.31
P1204,2024-03-11,1754.16,87.71,42.36
P1205,2024-06-17,4061.14,203.06,16.99
P1206,2024-03-16,1905.32,95.27,89.51
P1207,2024-07-12,1441.48,72.07,56.03
P1208,2024-06-11,4391.14,219.56,78.77
P1209,2024-06-16,4100.63,205.03,39.77
P1210,2024-03-01,3623.07,181.15,45.55
P1211,2024-02-15,4204.43,210.22,22.63
P1212,2024-05-24,821.57,41.08,41.67
P1213,2024-05-30,657.54,32.88,24.24
P1214,2024-03-27,4580.52,229.03,38.49
P1215,2024-04-25,2444.04,122.2,16.27
P1216,2024-03-08,3627.95,181.4,78.92
P1217,2024-02-07,1645.73,82.29,38.64
P1218,2024-03-15,3913.57,195.68,55.43
P1219,2024-05-02,4771.17,238.56,32.39
P1220,2024-06-03,1119.97,56.0,80.57
P1221,2024-04-27,2309.63,115.48,64.16
P1222,2024-03-19,2706.0,135.3,85.67
P1223,2024-02-11,607.53,30.38,85.16
P1224,2024-05-14,2777.89,138.89,89.19
P1225,2024-05-22,3000.63,150.03,96.74
P1226,2024-04-17,4857.6,242.88,67.68
P1227,2024-05-06,1318.6,65.93,79.23
P1228,2024-06-14,867.05,43.35,62.78
P1229,2024-02-24,4012.71,200.64,74.16
P1230,2024-05-03,2877.86,143.89,48.52
P1231,2024-04-25,4118.76,205.94,66.43
P1232,2024-04-05,904.25,45.21,35.11
P1233,2024-04-20,3579.39,178.97,97.52
P1234,2024-07-18,4466.91,223.35,71.22
P1235,2024-05-10,4110.62,205.53,48.99
,2024-06-15,1587.35,79.37,40.66
P1237,2024-07-17,4662.35,233.12,42.53
P1238,2024-02-23,2568.39,128.42,49.55
P1239,2024-03-13,1115.53,55.78,85.32
P1240,2024-05-17,4096.96,204.85,89.92
P1241,2024-01-27,3179.26,158.96,44.56
P1242,2024-01-29,1546.26,77.31,24.38
P1243,2024-04-27,2766.61,138.33,46.23
P1244,2024-07-05,2257.04,112.85,58.87
P1245,2024-07-14,2849.92,142.5,33.02
P1246,2024-03-05,3403.82,170.19,81.78
P1247,2024-04-30,-2663.89,133.19,86.29
P1248,2024-02-24,1636.77,81.84,88.17
P1249,2024-03-07,3843.09,192.15,75.08
P1250,2024-01-20,2551.87,127.59,27.59
P1251,2024-01-27,4851.29,242.56,81.85
P1252,2024-02-07,598.21,29.91,52.05
P1253,2024-01-17,4881.66,244.08,80.04
P1254,2024-01-17,2759.32,137.97,53.1
P1255,2024-06-07,620.07,31.0,16.32
P1256,2024-06-12,1123.37,56.17,75.04
P1257,2024-03-30,4619.51,230.98,86.66
P1258,2024-06-15,3784.48,189.22,35.13
P1259,2024-02-04,1289.38,64.47,23.71
P1260,2024-04-17,601.21,30.06,52.43
P1261,2024-01-03,4502.62,225.13,77.83
P1262,2024-03-29,1071.86,53.59,28.14
P1263,2024-03-04,4864.47,243.22,98.42
P1264,2024-06-16,2252.89,112.64,64.01
P1265,2024-01-29,654.62,32.73,42.4
P1266,2024-07-08,-3696.04,184.8,63.6
P1267,2024-05-30,4561.05,228.05,12.94
P1268,2024-07-16,757.42,37.87,14.57
P1269,2024-05-19,1765.81,88.29,30.33
,2024-06-08,1674.73,83.74,14.51
P1271,2024-02-29,2576.23,128.81,93.91
P1272,2024-03-29,3856.83,192.84,97.87
P1273,2024-05-30,2435.57,121.78,64.8
P1274,2024-02-10,725.74,36.29,36.67
P1275,2024-06-22,4725.12,236.26,78.12
P1276,2024-07-20,4931.04,246.55,70.16
P1277,2024-05-08,1591.87,79.59,12.43
P1278,2024-03-24,923.11,46.16,63.88
P1279,2024-02-19,4844.5,242.23,33.51
P1280,2024-04-29,2091.59,104.58,13.11
P1281,2024-03-01,2569.9,128.5,46.33
P1282,2024-05-07,2861.09,143.05,39.77
P1283,2024-04-01,4298.61,214.93,67.61
P1284,2024-01-31,2694.79,134.74,78.4
P1285,2024-03-01,5096.89,254.84,34.0
P1286,2024-06-30,,48.58,21.07
P1287,2024-03-31,781.2,39.06,81.27
P1288,2024-01-29,3023.72,151.19,13.96
P1289,2024-06-29,2204.67,110.23,78.69
P1290,2024-05-25,2155.69,107.78,83.16
P1291,2024-03-27,1794.43,89.72,77.88
P1292,2024-03-03,3815.34,190.77,28.59
P1293,2024-06-25,2063.27,103.16,20.34
P1294,2024-03-31,1461.94,73.1,18.49
P1295,2024-02-01,1174.05,58.7,19.19
P1296,2024-05-07,4841.41,242.07,11.18
P1297,2024-06-29,2912.1,145.6,75.4
P1298,2024-03-01,1413.43,70.67,37.69
P1299,2024-02-18,1696.7,84.84,29.91
P1300,2024-02-23,866.21,43.31,28.19
P1301,2024-06-29,4138.02,206.9,45.09
P1302,2024-02-05,2213.56,110.68,91.39
P1303,2024-04-08,4941.6,247.08,84.39
P1304,2024-07-14,1652.39,82.62,38.37
P1305,2024-06-11,,132.32,79.82
P1306,2024-05-28,897.45,44.87,70.71
,2024-06-27,3566.48,178.32,82.86
P1308,2024-05-02,694.22,34.71,40.72
P1309,2024-06-03,2356.98,117.85,99.57
P1310,2024-05-06,3228.35,161.42,65.26
P1311,2024-02-12,2136.86,106.84,86.44
P1312,2024-05-27,3535.93,176.8,50.18
P1313,2024-02-21,1294.58,64.73,89.24
P1314,2024-04-24,4342.9,217.14,17.78
