claim_id,policy_id,state,loss_date,incurred_loss,paid_loss,reserve
C97085,P46682,IL,2024-06-10,7539.46,5958.89,1580.5699999999997
C81890,P20001,FL,2024-05-02,9410.22,2101.05,7309.169999999999
C64951,P20001,FL,2024-04-19,8532.25,4498.67,4033.58
C24228,P45499,GA,2024-05-24,8225.11,2908.42,5316.6900000000005
C14049,P8723,NC,2024-05-15,9338.01,713.38,8624.630000000001
C32799,P8723,NC,2024-03-29,330.65,52.73,277.91999999999996
C67698,P8723,NC,2024-06-20,9102.3,6329.43,-1.0
C50336,P43885,GA,2024-05-06,8662.07,4511.84,4150.23
C99827,P46568,NC,2024-07-09,4083.19,2811.28,1271.9099999999999
C59455,P46568,NC,2024-03-17,8607.01,6674.88,1932.13
C31903,P28002,IL,2024-01-28,645.43,574.17,71.25999999999999
C50735,P28002,IL,2024-06-20,3163.87,4745.805,1688.77
C87487,P28002,IL,2024-04-03,1119.54,951.29,168.25
C16732,P5719,TX,2024-06-03,1551.34,1070.9,480.4399999999998
C30131,P12637,TX,2024-05-03,4383.77,1156.28,3227.4900000000007
C92207,P12744,GA,2024-06-26,1970.43,1192.56,777.8700000000001
C71898,P4260,IL,2024-02-22,5637.69,5217.91,419.77999999999975
C27580,P4260,IL,2024-01-16,3711.19,881.76,2829.4300000000003
C54903,P4260,IL,2024-02-26,8858.23,969.14,7889.089999999999
C15589,P2044,TX,2024-02-26,5364.16,993.79,4370.37
C23341,P2044,TX,2024-03-12,9986.87,7193.12,2793.750000000001
,P2044,TX,2024-05-12,3097.63,2894.85,202.7800000000002
C67062,P2026,FL,2024-06-26,2470.3,1463.43,1006.8700000000001
C28474,P2026,FL,2024-03-23,7743.77,1856.07,5887.700000000001
C86883,P32826,NC,2024-04-04,7424.52,5359.99,2064.5300000000007
C44112,P32826,NC,2024-05-12,6286.09,5769.21,516.8800000000001
C77076,P32826,NC,2024-04-12,5904.77,4341.78,1562.9900000000007
C80239,P22631,NC,2024-04-07,4645.26,4372.57,272.6900000000005
C99855,P22631,NC,2024-02-16,4432.14,2054.31,2377.8300000000004
C69647,P22631,NC,2024-02-28,9910.91,8649.16,1261.75
C35175,P8397,IL,2024-06-21,8521.47,1090.21,7431.259999999999
C13538,P8397,IL,2024-03-13,7887.42,7284.64,602.7799999999997
,P2833,NC,2024-03-11,314.7,7.32,307.38
C87515,P2833,NC,2024-04-12,3318.95,1065.28,2253.67
C51556,P15130,NC,2024-04-21,8554.0,7034.92,1519.08
C58424,P15130,NC,2024-05-28,6593.52,941.38,5652.14
C94421,P15130,NC,2024-02-28,2987.62,229.05,2758.5699999999997
C81362,P2466,IL,2024-03-17,116.73,15.55,101.18
C45594,P30040,NC,2024-05-28,2535.42,1423.21,1112.21
C62986,P30040,NC,2024-06-09,4790.84,175.28,4615.56
C78442,P39915,TX,2024-01-26,1686.18,263.83,1422.3500000000001
C37146,P27713,FL,2024-04-14,6088.53,4479.18,1609.3499999999995
C35919,P27713,FL,2024-03-27,2580.92,1821.9,759.02
C32624,P27713,FL,2024-04-09,3005.41,2576.18,429.23
C16600,P21279,FL,2024-07-17,1696.93,1019.35,677.58
C67198,P21279,FL,2024-01-22,4601.79,3270.08,1331.71
C73901,P21279,FL,2024-05-31,2374.1,1420.69,953.4099999999999
C69724,P2712,NC,2024-01-08,6816.33,6540.96,275.3699999999999
C38362,P2712,NC,2024-06-05,8275.38,2307.75,5967.629999999999
C20570,P2712,NC,2024-07-02,1954.35,308.01,1646.34
C58085,P33229,NC,2024-04-18,3032.1,2734.88,297.2199999999998
C53568,P43439,NC,2024-06-04,1510.7,96.2,1414.5
C14888,P43439,NC,2024-06-12,7186.73,2174.51,5012.219999999999
C54154,P32710,IL,2024-04-04,4610.13,4595.78,14.350000000000364
C35567,P32710,IL,2024-02-20,9090.6,7053.13,2037.4700000000003
