policy_id,effective_date,written_premium,product,state,broker
P1000,2024-06-10,1708.92,Landlord,FL,Broker A
P1001,2024-04-01,1802.69,Landlord,GA,Broker A
P1002,2024-05-23,4656.99,Landlord,TX,Broker C
P1003,2024-03-05,3669.41,Multi-Family,NC,Broker A
P1004,2024-01-06,1413.96,Short Term Rental,TX,Broker A
P1005,2024-03-23,895.69,Multi-Family,NC,Broker C
P1006,2024-04-27,714.61,Short Term Rental,IL,Broker B
P1007,2024-01-10,4759.92,Multi-Family,IL,Broker A
,2024-06-08,3030.3,Short Term Rental,IL,Broker C
P1009,2024-03-02,1428.9,Multi-Family,TX,Broker C
P1010,2024-05-14,2544.56,Landlord,GA,Broker A
P1011,2024-05-27,3835.8,Multi-Family,IL,Broker C
P1012,2024-03-05,2391.03,Short Term Rental,FL,Broker B
P1013,2024-04-22,4524.86,Short Term Rental,NC,Broker A
P1014,2024-06-04,867.37,Multi-Family,NC,Broker A
P1015,2024-03-17,4855.0,Landlord,TX,Broker A
P1016,2024-06-04,4490.16,Short Term Rental,TX,Broker C
P1017,2024-01-18,2899.57,Short Term Rental,FL,Broker B
P1018,2024-02-16,3746.89,Multi-Family,TX,Broker B
P1019,2024-05-11,4536.76,Multi-Family,IL,Broker C
P1020,2024-04-14,2813.39,Multi-Family,IL,Broker B
P1021,2024-03-14,1592.16,Short Term Rental,NC,Broker C
,2024-02-11,3963.97,Multi-Family,NC,Broker A
P1023,2024-02-29,1404.84,Multi-Family,GA,Broker A
P1024,2024-06-01,2244.6,Multi-Family,IL,Broker B
P1025,2024-04-08,1066.2,Multi-Family,FL,Broker B
P1026,2024-04-24,2370.16,Multi-Family,FL,Broker B
P1027,2024-02-13,4088.36,Landlord,NC,Broker B
P1028,2024-01-05,3810.02,Short Term Rental,TX,Broker A
P1029,2024-04-27,3985.94,Short Term Rental,TX,Broker A
P1030,2024-01-13,1213.39,Short Term Rental,IL,Broker B
P1031,2024-04-06,3763.59,Short Term Rental,GA,Broker A
P1032,2024-04-17,3542.28,Landlord,FL,Broker B
P1033,2024-06-27,3701.1,Short Term Rental,GA,Broker B
P1034,2024-05-23,1066.46,Short Term Rental,TX,Broker A
P1035,2024-03-31,4268.88,Landlord,FL,Broker A
P1036,2024-02-15,3860.83,Short Term Rental,FL,Broker B
P1037,2024-04-06,4100.83,Multi-Family,FL,Broker B
P1038,2024-05-30,3122.12,Multi-Family,FL,Broker A
P1039,2024-05-21,4765.33,Multi-Family,IL,Broker B
P1040,2024-04-10,4912.28,Multi-Family,IL,Broker A
P1041,2024-03-06,1342.51,Landlord,TX,Broker C
P1042,2024-04-24,4599.87,Landlord,GA,Broker B
,2024-05-31,4139.93,Landlord,IL,Broker A
P1044,2024-04-01,4485.77,Short Term Rental,NC,Broker A
P1045,2024-02-17,2679.24,Landlord,FL,Broker B
P1046,2024-04-12,3355.54,Short Term Rental,GA,Broker C
P1047,2024-03-11,4777.51,Landlord,NC,Broker C
P1048,2024-04-24,,Short Term Rental,GA,Broker C
P1049,2024-06-29,716.32,Landlord,IL,Broker A
P1050,2024-02-09,2923.07,Short Term Rental,NC,Broker B
P1051,2024-06-06,3085.43,Landlord,FL,Broker C
P1052,2024-01-07,1898.66,Short Term Rental,GA,Broker C
P1053,2024-02-21,1156.17,Landlord,GA,Broker C
P1054,2024-02-02,2453.31,Short Term Rental,TX,Broker C
P1055,2024-02-04,2525.31,Multi-Family,GA,Broker C
P1056,2024-06-27,2410.56,Landlord,GA,Broker A
P1057,2024-01-25,2801.16,Landlord,IL,Broker C
P1058,2024-01-03,1925.08,Multi-Family,TX,Broker B
P1059,2024-06-14,780.1,Short Term Rental,IL,Broker A
P1060,2024-01-19,3894.27,Multi-Family,NC,Broker A
P1061,2024-03-04,,Multi-Family,TX,Broker C
P1062,2024-04-14,3558.99,Multi-Family,GA,Broker B
P1063,2024-05-12,4141.29,Short Term Rental,GA,Broker A
P1064,2024-06-14,3769.4,Multi-Family,TX,Broker C
P1065,2024-04-01,3473.68,Short Term Rental,GA,Broker A
P1066,2024-01-29,2273.32,Multi-Family,IL,Broker A
P1067,2024-01-31,2699.92,Landlord,TX,Broker B
P1068,2024-04-19,1332.38,Landlord,NC,Broker C
P1069,2024-01-18,1000.82,Short Term Rental,FL,Broker B
P1070,2024-03-31,2072.06,Multi-Family,TX,Broker C
P1071,2024-01-17,778.27,Landlord,TX,Broker C
P1072,2024-01-25,1160.61,Landlord,GA,Broker B
P1073,2024-05-28,4230.89,Multi-Family,NC,Broker C
P1074,2024-06-28,2281.81,Landlord,NC,Broker B
P1075,2024-03-14,4813.35,Landlord,IL,Broker B
P1076,2024-01-05,672.8,Landlord,GA,Broker B
P1077,2024-04-26,746.26,Short Term Rental,FL,Broker A
P1078,2024-02-28,3712.71,Short Term Rental,FL,Broker C
P1079,2024-03-05,4573.33,Short Term Rental,FL,Broker A
P1080,2024-01-31,2533.46,Multi-Family,TX,Broker B
P1081,2024-04-15,4673.44,Short Term Rental,FL,Broker C
P1082,2024-04-20,3975.94,Short Term Rental,NC,Broker C
P1083,2024-05-23,796.91,Short Term Rental,GA,Broker B
P1084,2024-01-29,4220.26,Landlord,NC,Broker B
P1085,2024-02-17,857.54,Landlord,GA,Broker A
P1086,2024-02-02,4073.5,Multi-Family,GA,Broker B
P1087,2024-03-06,2985.97,Short Term Rental,FL,Broker A
P1088,2024-05-08,3155.76,Landlord,NC,Broker B
P1089,2024-05-16,1590.06,Landlord,FL,Broker A
P1090,2024-03-21,3465.8,Multi-Family,NC,Broker A
P1091,2024-06-23,3243.69,Landlord,NC,Broker C
P1092,2024-04-14,2404.63,Short Term Rental,IL,Broker B
P1093,2024-04-27,1124.27,Multi-Family,FL,Broker A
P1094,2024-03-08,2754.92,Multi-Family,TX,Broker C
P1095,2024-05-29,770.29,Short Term Rental,FL,Broker A
P1096,2024-04-01,1878.8,Short Term Rental,TX,Broker B
P1097,2024-05-22,3918.56,Short Term Rental,NC,Broker B
P1098,2024-04-25,1578.25,Landlord,FL,Broker C
P1099,2024-01-08,992.55,Short Term Rental,TX,Broker A
P1100,2024-06-17,3163.79,Landlord,GA,Broker B
P1101,2024-06-13,2198.92,Landlord,GA,Broker A
,2024-01-11,1377.3,Landlord,TX,Broker C
P1103,2024-06-18,1770.9,Short Term Rental,TX,Broker A
P1104,2024-03-03,1489.35,Landlord,IL,Broker C
P1105,2024-03-12,748.79,Multi-Family,TX,Broker A
P1106,2024-03-23,1979.92,Short Term Rental,IL,Broker C
P1107,2024-02-02,2021.62,Landlord,IL,Broker B
P1108,2024-04-12,3707.04,Landlord,IL,Broker B
P1109,2024-05-23,4549.63,Multi-Family,TX,Broker B
P1110,2024-01-15,1656.44,Landlord,IL,Broker C
P1111,2024-05-08,1681.07,Multi-Family,FL,Broker A
P1112,2024-01-04,4428.64,Landlord,FL,Broker A
P1113,2024-05-28,4479.36,Landlord,TX,Broker B
P1114,2024-03-22,1476.47,Short Term Rental,FL,Broker B
P1115,2024-06-26,1314.34,Multi-Family,NC,Broker A
P1116,2024-03-06,3137.81,Landlord,IL,Broker B
P1117,2024-01-21,1119.36,Short Term Rental,TX,Broker B
P1118,2024-03-13,3718.33,Multi-Family,FL,Broker C
P1119,2024-06-06,3958.67,Short Term Rental,GA,Broker B
P1120,2024-02-18,4944.55,Landlord,IL,Broker A
P1121,2024-03-09,3561.81,Multi-Family,GA,Broker C
,2024-05-29,2743.44,Multi-Family,NC,Broker B
P1123,2024-05-14,3029.96,Short Term Rental,NC,Broker A
P1124,2024-02-29,3826.39,Landlord,FL,Broker B
P1125,2024-05-10,1950.57,Landlord,FL,Broker C
P1126,2024-05-01,4284.66,Landlord,TX,Broker A
