table_name,check_name,policy_id,issue_detail
policies,duplicate_policy_id,,"{'policy_id': None, 'cnt': 1841}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-06-08', 'written_premium': 3030.3, 'product': 'Short Term Rental', 'state': 'IL', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-02-11', 'written_premium': 3963.97, 'product': 'Multi-Family', 'state': 'NC', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-31', 'written_premium': 4139.93, 'product': 'Landlord', 'state': 'IL', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1048,"{'policy_id': 'P1048', 'effective_date': '2024-04-24', 'written_premium': nan, 'product': 'Short Term Rental', 'state': 'GA', 'broker': 'Broker C'}"
policies,null_key_or_premium,P1061,"{'policy_id': 'P1061', 'effective_date': '2024-03-04', 'written_premium': nan, 'product': 'Multi-Family', 'state': 'TX', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-01-11', 'written_premium': 1377.3, 'product': 'Landlord', 'state': 'TX', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-29', 'written_premium': 2743.44, 'product': 'Multi-Family', 'state': 'NC', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1130,"{'policy_id': 'P1130', 'effective_date': '2024-01-31', 'written_premium': nan, 'product': 'Landlord', 'state': 'GA', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-06-08', 'written_premium': 2320.55, 'product': 'Short Term Rental', 'state': 'NC', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-02-06', 'written_premium': 2653.67, 'product': 'Landlord', 'state': 'IL', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-02', 'written_premium': 2161.18, 'product': 'Landlord', 'state': 'NC', 'broker': 'Broker C'}"
policies,null_key_or_premium,P1152,"{'policy_id': 'P1152', 'effective_date': '2024-02-18', 'written_premium': nan, 'product': 'Short Term Rental', 'state': 'IL', 'broker': 'Broker C'}"
policies,null_key_or_premium,P1159,"{'policy_id': 'P1159', 'effective_date': '2024-05-06', 'written_premium': nan, 'product': 'Landlord', 'state': 'GA', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-04', 'written_premium': 3169.0, 'product': 'Multi-Family', 'state': 'TX', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-03-28', 'written_premium': 4795.14, 'product': 'Landlord', 'state': 'FL', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1198,"{'policy_id': 'P1198', 'effective_date': '2024-06-24', 'written_premium': nan, 'product': 'Multi-Family', 'state': 'GA', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-03-04', 'written_premium': 4580.52, 'product': 'Short Term Rental', 'state': 'NC', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-04-07', 'written_premium': 2199.65, 'product': 'Landlord', 'state': 'NC', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1249,"{'policy_id': 'P1249', 'effective_date': '2024-02-26', 'written_premium': nan, 'product': 'Short Term Rental', 'state': 'TX', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-01-13', 'written_premium': 725.74, 'product': 'Short Term Rental', 'state': 'GA', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-01', 'written_premium': 2724.85, 'product': 'Multi-Family', 'state': 'TX', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1284,"{'policy_id': 'P1284', 'effective_date': '2024-01-23', 'written_premium': nan, 'product': 'Multi-Family', 'state': 'IL', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-01-05', 'written_premium': 3182.86, 'product': 'Landlord', 'state': 'IL', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1309,"{'policy_id': 'P1309', 'effective_date': '2024-05-24', 'written_premium': nan, 'product': 'Short Term Rental', 'state': 'TX', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-03-07', 'written_premium': 3596.44, 'product': 'Landlord', 'state': 'FL', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1391,"{'policy_id': 'P1391', 'effective_date': '2024-02-27', 'written_premium': nan, 'product': 'Multi-Family', 'state': 'GA', 'broker': 'Broker C'}"
policies,null_key_or_premium,P1404,"{'policy_id': 'P1404', 'effective_date': '2024-02-05', 'written_premium': nan, 'product': 'Landlord', 'state': 'GA', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-02-29', 'written_premium': 2534.93, 'product': 'Short Term Rental', 'state': 'TX', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-23', 'written_premium': 1816.57, 'product': 'Landlord', 'state': 'TX', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1478,"{'policy_id': 'P1478', 'effective_date': '2024-05-02', 'written_premium': nan, 'product': 'Multi-Family', 'state': 'IL', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-03-10', 'written_premium': 569.49, 'product': 'Multi-Family', 'state': 'TX', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-01-14', 'written_premium': 4525.62, 'product': 'Short Term Rental', 'state': 'IL', 'broker': 'Broker C'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-02-26', 'written_premium': 766.44, 'product': 'Multi-Family', 'state': 'FL', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1501,"{'policy_id': 'P1501', 'effective_date': '2024-05-24', 'written_premium': nan, 'product': 'Landlord', 'state': 'GA', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1505,"{'policy_id': 'P1505', 'effective_date': '2024-02-16', 'written_premium': nan, 'product': 'Short Term Rental', 'state': 'FL', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1516,"{'policy_id': 'P1516', 'effective_date': '2024-02-08', 'written_premium': nan, 'product': 'Landlord', 'state': 'GA', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1529,"{'policy_id': 'P1529', 'effective_date': '2024-03-17', 'written_premium': nan, 'product': 'Multi-Family', 'state': 'GA', 'broker': 'Broker B'}"
policies,null_key_or_premium,P1560,"{'policy_id': 'P1560', 'effective_date': '2024-01-10', 'written_premium': nan, 'product': 'Short Term Rental', 'state': 'IL', 'broker': 'Broker B'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-05-30', 'written_premium': 1490.73, 'product': 'Landlord', 'state': 'FL', 'broker': 'Broker A'}"
policies,null_key_or_premium,P1577,"{'policy_id': 'P1577', 'effective_date': '2024-04-22', 'written_premium': nan, 'product': 'Landlord', 'state': 'FL', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-02-14', 'written_premium': 2389.65, 'product': 'Multi-Family', 'state': 'FL', 'broker': 'Broker A'}"
policies,null_key_or_premium,,"{'policy_id': None, 'effective_date': '2024-02-13', 'written_premium': 1111.46, 'product': 'Landlord', 'state': 'IL', 'broker': 'Broker C'}"
